"NO","detail","หน่วย","ID","ค่า SPEC"
"1","รหัส ชื่อรุ่นเครื่องปรับอากาศ","","model","12"
"2","รหัส หมายเลขเครื่องปรับอากาศ","","serial","20"
"3","ชนิดเครื่องปรับอากาศ Fix | Inverter","","conditioner_type","55"
"4","ขนาดทำความเย็น","btu/h","rate_capacity","31"
"5","ค่าประสิทธิภาพ","","rate_eer","32"
"6","รูปแบบของ Fin","","evap_fin_pattern","33"
"7","Fin option","","evap_fin_option","34"
"8","จำนวน Fin","inch","evap_fin_pitch","35"
"9","ชนิดวัสดุของ Fin","","evap_fin_material","36"
"10","ชนิดวัสดุท่อสารทำความเย็น","","evap_pipe_material","37"
"11","ขนาดท่อสารทำความเย็น","","evap_pipe_diameter","38"
"12","จำนวนแถวของแผงระบายความเย็น","","evap_row_number","39"
"13","พื้นที่หน้าตัดของแผงระบายความเย็น","","evap_face_area","40"
"14","ชนิดของมอเตอร์พัดลมระบายความเย็น","","evap_fanmotor_type","41"
"15","รอบการทำงาน","RPM","evap_fanmotor_speed","42"
"16","ปริมาณลม","CFM","evap_fanmotor_air_flow","43"
"17","ชนิดของสารทำความเย็น","","refrigerant_type","44"
"18","ปริมาณสารทำความเย็น","g","refrigerant_amount","45"
"19","ขนาด inner diameter","mm.","captube_refri_flow_diameter","46"
"20","ความยาว","Inch","captube_refri_flow_length","47"
"21","ขนาด","mm.","exv_refri_flow_diameter","48"
"22","Position","","exv_refri_flow_position","49"
"23","model","","exv_refri_flow_model","50"
"24","ขนาด","mm.","txv_refri_flow_diameter","51"
"25","Position","","txv_refri_flow_position","52"
"26","ชนิด Fix / Inverter","mm.","comp_refri_flow_type","53"
"27","รอบการทำงาน","RPS","comp_refri_flow_speed","54"
"28","Model","","comp_refri_flow_model","55"
"29","รูปแบบของ Fin","","cond_fin_pattern","56"
"30","จำนวน Fin","Inch","cond_fin_pitch","57"
"31","ชนิดวัสดุของ Fin","","cond_fin_material","58"
"32","ชนิดวัสดุท่อสารทำความเย็น","","cond_pipe_material","59"
"33","ขนาดท่อสารทำความเย็น","","cond_pipe_diameter","60"
"34","จำนวนแถวของแผงระบายความร้อน","","cond_row_number","61"
"35","พื้นที่หน้าตัดของแผงระบายความร้้อน","","cond_face_area","62"
