"NO","หัวข้อการทดสอบ","หน่วย","ID","ค่า SPEC"
"1","Indoor Room Temperature Dry bulb","°C","id_room_temp_db","12"
"2","Indoor Room Temperature Wet bulb","°C","id_room_temp_wb","20"
"3","Outdoor Room Temperature Dry bulb","°C","od_room_temp_db","45"
"4","Outdoor Room Temperature Wet bulb","°C","od_room_temp_wb","22"
"5","Total Capacity","BTU/h","total_cap","11"
"6","Sensible Heat Capacity","BTU/h","sensible_cap","22"
"7","Latent Heat Capacity","BTU/h","latent_cap","15"
"8","Unit Power input","W","result_power_input","19"
"9","Unit supply voltage","V","result_supply","25"
"10","Unit Current","A","result_current","33"
"11","Unit Power factor","","result_power_factor","47"
"12","ค่าประสิทธิภาพ","EER","result_eer","26"
"13","Evaporator inlet temperature","°C","evap_inlet_temp","18"
"14","Evaporator outlet temperature","°C","evap_outlet_temp","19"
"15","Compressor suction temperature","°C","comp_suction_temp","28"
"16","Compressor Shell temperature","°C","comp_shell_temp","60"
"17","Compressor Discharge temperature","°C","comp_disch_temp","50"
"18","Condensor mid temperature","°C","cond_mid_temp","42"
"19","Condensor outlet temperature","°C","cond_outlet_temp","44"
"20","Liquid low temperature","°C","liquie_low_temp","51"
"21","Compressor suction pressure","PSI","comp_suction_pressure","55"
"22","Compressor discharge pressure","PSI","comp_disch_pressure","56"
"23","Indoor Air supply temperature","°C","id_air_suppply_temp","22"
"24","Outdoor Air supply temperature","°C","od_air_supply_temp","28"
