"NO","detail","หน่วย","ค่า SPEC","ค่า แนะนำ"
"1","รหัส ชื่อรุ่นเครื่องปรับอากาศ","","12","12"
"2","รหัส หมายเลขเครื่องปรับอากาศ","","20","20"
"3","ชนิดเครื่องปรับอากาศ Fix , Inverter","","30","30"
"4","ขนาดทำความเย็น","btu/h","31","31"
"5","ค่าประสิทธิภาพ","","32","32"
"6","รูปแบบของ Fin","","33","33"
"7","Fin option","","34","34"
"8","จำนวน Fin","inch","35","35"
"9","ชนิดวัสดุของ Fin","","36","36"
"10","ชนิดวัสดุท่อสารทำความเย็น","","37","37"
"11","ขนาดท่อสารทำความเย็น","","38","38"
"12","จำนวนแถวของแผงระบายความเย็น","","39","39"
"13","พื้นที่หน้าตัดของแผงระบายความเย็น","","40","40"
"14","ชนิดของมอเตอร์พัดลมระบายความเย็น","","41","41"
"15","รอบการทำงาน","RPM","42","42"
"16","ปริมาณลม","CFM","43","43"
"17","ชนิดของสารทำความเย็น","","44","44"
"18","ปริมาณสารทำความเย็น","g","45","45"
"19","ขนาด inner diameter","mm.","46","46"
"20","ความยาว","Inch","47","47"
"21","ขนาด","mm.","48","48"
"22","Position","","49","49"
"23","model","","50","50"
"24","ขนาด","mm.","51","51"
"25","Position","","52","52"
"26","ชนิด Fix / Inverter","mm.","53","53"
"27","รอบการทำงาน","RPS","54","54"
"28","Model","","55","55"
"29","รูปแบบของ Fin","","56","56"
"30","จำนวน Fin","Inch","57","57"
"31","ชนิดวัสดุของ Fin","","58","58"
"32","ชนิดวัสดุท่อสารทำความเย็น","","59","59"
"33","ขนาดท่อสารทำความเย็น","","60","60"
"34","จำนวนแถวของแผงระบายความร้อน","","61","61"
"35","พื้นที่หน้าตัดของแผงระบายความร้้อน","","62","62"
